A	S1R1	B	S1	C	R1
Time	S1 / R1	Time	S1	Time	R1
s	CPS / MicroAmps	s	CPS	s	MicroAmps
0	1149120.14563107	0	58075	0	0.0505386666666667
10	1155982.89190133	10	58470	10	0.0505803333333333
20	1144711.54636126	20	58055	20	0.0507158333333333
30	1144533.6100239	30	58095	30	0.0507586666666667
40	1149580.75004278	40	58221.6666666667	40	0.050646
50	1146477.1017375	50	58033.3333333333	50	0.0506188333333333
60	1155318.04974679	60	58516.6666666667	60	0.0506498333333333
70	1156872.48865473	70	58590	70	0.0506451666666667
80	1148629.28174429	80	58106.6666666667	80	0.0505878333333333
90	1152054.31193144	90	58318.3333333333	90	0.0506211666666667
100	1166818.32568444	100	58985	100	0.050552
110	1139598.69944624	110	57656.6666666667	110	0.0505938333333333
120	1155195.307081	120	58290	120	0.050459
130	1152414.27294821	130	58246.6666666667	130	0.0505431666666667
140	1152296.56157629	140	58345	140	0.0506336666666667
150	1155836.61226753	150	58701.6666666667	150	0.0507871666666667
160	1147014.6531582	160	58173.3333333333	160	0.0507171666666667
170	1140388.45573358	170	57676.6666666667	170	0.0505763333333333
180	1146390.275482	180	58141.6666666667	180	0.0507171666666667
190	636573.578391485	190	32205	190	0.0505911666666667
200	438187.550861055	200	22166.6666666667	200	0.0505871666666667
210	337090.484261103	210	17071.6666666667	210	0.0506441666666667
220	274223.516544336	220	13873.3333333333	220	0.0505913333333333
230	236057.162829652	230	11931.6666666667	230	0.0505456666666667
240	205107.58093706	240	10370	240	0.0505588333333333
250	180173.947420439	250	9115	250	0.05059
260	158520.214130926	260	8010	260	0.0505298333333333
270	143717.469913275	270	7266.66666666667	270	0.0505621666666667
280	122537.746882351	280	6216.66666666667	280	0.0507326666666667
290	113406.677332491	290	5741.66666666667	290	0.050629
300	104680.329973468	300	5300	300	0.0506303333333333
310	97745.9392794353	310	4966.66666666667	310	0.050812
320	91037.957697608	320	4613.33333333333	320	0.0506748333333333
330	87011.075928578	330	4415	330	0.0507406666666667
340	82941.5825635294	340	4205	340	0.0506983333333333
350	76786.5551088413	350	3886.66666666667	350	0.0506165
360	72661.6054629423	360	3681.66666666667	360	0.0506686666666667
370	71365.734562959	370	3610	370	0.0505845
380	67453.3483302747	380	3418.33333333333	380	0.050677
390	65108.9767270041	390	3290	390	0.0505306666666667
400	60823.4046617007	400	3078.33333333333	400	0.050611
410	62111.3917039753	410	3140	410	0.0505543333333333
420	59488.6938523955	420	3008.33333333333	420	0.0505698333333333
430	55290.3568471301	430	2793.33333333333	430	0.0505211666666667
440	56941.3513949151	440	2885	440	0.0506661666666667
450	55841.839588804	450	2828.33333333333	450	0.050649
460	53067.7091230314	460	2683.33333333333	460	0.0505643333333333
470	52871.7555594306	470	2678.33333333333	470	0.0506571666666667
480	52996.7872755043	480	2683.33333333333	480	0.050632
490	52245.6069932785	490	2646.66666666667	490	0.0506581666666667
500	51753.3125088647	500	2615	500	0.0505281666666667
510	50888.9907621476	510	2571.66666666667	510	0.0505348333333333
520	49045.9443157135	520	2480	520	0.0505648333333333
530	47916.8519122282	530	2425	530	0.0506085
540	46658.0934480826	540	2358.33333333333	540	0.050545
550	50811.47169216	550	2576.66666666667	550	0.0507103333333333
560	48730.8909757366	560	2468.33333333333	560	0.0506523333333333
570	47396.4869289119	570	2398.33333333333	570	0.0506015
580	45693.1559311961	580	2306.66666666667	580	0.0504816666666667
590	46775.1824528787	590	2365	590	0.050561
600	46195.1679854287	600	2333.33333333333	600	0.0505103333333333
610	44682.9294049316	610	2256.66666666667	610	0.050504
620	45215.7394306972	620	2285	620	0.0505355
630	46701.5582566509	630	2361.66666666667	630	0.0505693333333333
640	46261.845337267	640	2341.66666666667	640	0.0506176666666667
650	44268.920516866	650	2240	650	0.0505998333333333
660	45583.3517092934	660	2308.33333333333	660	0.0506398333333333
670	44964.0287769784	670	2275	670	0.050596
680	44546.8813885702	680	2251.66666666667	680	0.050546
690	43080.4673358565	690	2181.66666666667	690	0.0506416666666667
700	43239.7186289749	700	2188.33333333333	700	0.0506093333333333
710	44394.677908049	710	2246.66666666667	710	0.0506066666666667
720	43288.7597473834	720	2190	720	0.0505905
730	45670.0576711887	730	2315	730	0.0506896666666667
740	46062.1476558716	740	2330	740	0.0505838333333333
750	43578.3669476368	750	2205	750	0.0505985
760	45403.6243822076	760	2296.66666666667	760	0.0505833333333333
770	43084.5360824742	770	2176.66666666667	770	0.0505208333333333
780	44391.9577605778	780	2261.66666666667	780	0.0509476666666667
790	41264.0769825767	790	2098.33333333333	790	0.0508513333333333
800	43044.3882932407	800	2183.33333333333	800	0.0507228333333333
810	41939.0568971014	810	2126.66666666667	810	0.0507085
820	43853.8774328539	820	2221.66666666667	820	0.0506606666666667
830	42622.1319610124	830	2161.66666666667	830	0.050717
840	45370.11161705	840	2300	840	0.0506941666666667
850	42913.9351815286	850	2173.33333333333	850	0.050644
860	43186.385598837	860	2188.33333333333	860	0.0506718333333333
870	41985.5861542913	870	2128.33333333333	870	0.050692
880	43016.0610847815	880	2178.33333333333	880	0.05064
890	41203.8343185949	890	2093.33333333333	890	0.0508043333333333
900	40904.842764812	900	2071.66666666667	900	0.050646
910	41025.06832037	910	2081.66666666667	910	0.0507413333333333
920	43600.0631313131	920	2210	920	0.050688
930	41132.7477926962	930	2081.66666666667	930	0.0506085
940	41618.7864040908	940	2106.66666666667	940	0.0506181666666667
950	40945.1308893625	950	2071.66666666667	950	0.0505961666666667
960	40701.3664735244	960	2061.66666666667	960	0.0506535
970	39825.1514442794	970	2015	970	0.0505961666666667
980	41701.6651020307	980	2110	980	0.0505975
990	42155.0449379366	990	2133.33333333333	990	0.0506068333333333
1000	41207.8410187659	1000	2085	1000	0.0505971666666667
1010	41371.4504053151	1010	2093.33333333333	1010	0.0505985
1020	39208.1984968545	1020	1985	1020	0.0506271666666667
1030	41342.5644230295	1030	2095	1030	0.0506741666666667
1040	40306.8051432272	1040	2043.33333333333	1040	0.0506945
1050	41654.0541963334	1050	2110	1050	0.0506553333333333
1060	41716.6036692173	1060	2111.66666666667	1060	0.0506193333333333
1070	41548.512740886	1070	2105	1070	0.0506636666666667
1080	40904.1767746018	1080	2068.33333333333	1080	0.0505653333333333
1090	40493.8206627039	1090	2051.66666666667	1090	0.0506661666666667
1100	39109.7346007479	1100	1978.33333333333	1100	0.0505841666666667
1110	42108.3057154963	1110	2136.66666666667	1110	0.0507421666666667
