4
225		225		225		225	
CCD {DSI=0;Em.bw=10;Em.Filter=Open;Em.Polz=Open;Em.=530;Ex.bw=5;Ex.Filter=410LP;Ex.Polz=Open;Ex.=470;Ph.=Sample;Sample.Pos.=1;Tsp=20}		Ref {DSI=0;Em.bw=10;Em.Filter=Open;Em.Polz=Open;Ex.bw=5;Ex.Filter=410LP;Ex.Polz=Open;Ex.=470;Ph.=Sample;Sample.Pos.=1;Tsp=20}		Abs {DSI=0;Em.bw=10;Em.Filter=Open;Em.Polz=Open;Ex.bw=5;Ex.Filter=410LP;Ex.Polz=Open;Ex.=470;Ph.=Sample;Sample.Pos.=1;Tsp=20}		Tsmp {DSI=0;Em.bw=10;Em.Filter=Open;Em.Polz=Open;Ex.bw=5;Ex.Filter=410LP;Ex.Polz=Open;Ex.=470;Ph.=Sample;Sample.Pos.=1;Tsp=20}	
X	Y	X	Y	X	Y	X	Y
0.02	12587	0.02	6.10853433609009	0.02	3.81279802322388	0.02	19.9899997711182
10.02	12543	10.02	6.10669755935669	10.02	3.81146502494812	10.02	20
20.02	12530	20.02	6.1054310798645	20.02	3.81135582923889	20.02	20
30.021	12533	30.021	6.10940742492676	30.021	3.81332755088806	30.021	20
40.021	12413	40.021	6.1080641746521	40.021	3.81280589103699	40.021	20
50.022	12546	50.022	6.10777616500854	50.022	3.81175971031189	50.022	20
60.022	12543	60.022	6.11119270324707	60.022	3.81283807754517	60.022	20
70.022	12563	70.022	6.10598134994507	70.022	3.81112217903137	70.022	20
80.023	12500	80.023	6.10977745056152	80.023	3.81337928771973	80.023	20
90.023	12467	90.023	6.11111450195312	90.023	3.8145067691803	90.023	20
100.023	12553	100.023	6.11081647872925	100.023	3.81424307823181	100.023	20.0100002288818
110.024	12491	110.024	6.10664176940918	110.024	3.81143260002136	110.024	20
120.024	12543	120.024	6.10706186294556	120.024	3.81095790863037	120.024	20
130.024	12458	130.024	6.10572957992554	130.024	3.81128287315369	130.024	20
140.025	12503	140.025	6.10787057876587	140.025	3.8118040561676	140.025	20
150.025	12632	150.025	6.10874891281128	150.025	3.81278467178345	150.025	20
160.026	12540	160.026	6.10579395294189	160.026	3.81010961532593	160.026	20
170.026	12447	170.026	6.10712003707886	170.026	3.81193161010742	170.026	19.9899997711182
180.026	12517	180.026	6.10722303390503	180.026	3.81105804443359	180.026	20
190.027	12547	190.027	6.11239194869995	190.027	3.81367540359497	190.027	20
200.027	12478	200.027	6.10699796676636	200.027	3.81114745140076	200.027	20
210.028	12538	210.028	6.10947227478027	210.028	3.8130407333374	210.028	20
220.028	12563	220.028	6.10565233230591	220.028	3.81108093261719	220.028	20
230.028	12592	230.028	6.10741567611694	230.028	3.81123948097229	230.028	20
240.029	12500	240.029	6.10781192779541	240.029	3.8115565776825	240.029	20
250.029	12538	250.029	6.10502195358276	250.029	3.81021118164062	250.029	20
