0.02	12587	
10.02	12543	
20.02	12530	
30.021	12533	
40.021	12413	
50.022	12546	
60.022	12543	
70.022	12563	
80.023	12500	
90.023	12467	
100.023	12553	
110.024	12491	
120.024	12543	
130.024	12458	
140.025	12503	
150.025	12632	
160.026	12540	
170.026	12447	
180.026	12517	
190.027	12547	
200.027	12478	
210.028	12538	
220.028	12563	
230.028	12592	
240.029	12500	
250.029	12538	
260.029	12547	
270.03	12640	
280.03	12358	
290.031	12436	
300.031	12643	
310.031	12577	
320.032	12596	
330.032	12625	
340.032	12452	
350.033	12453	
360.033	12625	
370.033	12487	
380.034	12433	
390.034	12426	
400.035	12597	
410.035	12541	
420.035	12565	
430.036	12576	
440.036	12490	
450.036	12370	
460.037	12557	
470.037	12595	
480.037	12667	
490.038	12566	
500.038	12520	
510.039	12493	
520.039	12520	
530.039	12458	
540.04	12613	
550.04	12598	
560.04	12511	
570.041	12568	
580.041	12467	
590.041	12572	
600.042	12558	
610.042	12533	
620.042	12617	
630.043	12472	
640.043	12486	
650.044	12545	
660.044	12655	
670.044	12360	
680.045	12481	
690.045	12516	
700.045	12452	
710.046	12472	
720.046	12405	
730.046	12681	
740.047	12526	
750.047	12531	
760.048	12462	
770.048	12626	
780.048	12530	
790.049	12458	
800.049	12605	
810.049	12586	
820.05	12528	
830.05	12608	
840.05	12526	
850.051	12510	
860.051	12528	
870.052	12533	
880.052	12348	
890.052	12515	
900.053	12538	
910.053	12426	
920.053	12472	
930.054	12463	
940.054	12331	
950.054	12412	
960.055	12518	
970.055	11841	
980.055	9586	
990.056	8748	
1000.06	8516	
1010.06	8491	
1020.06	8587	
1030.06	8358	
1040.06	8445	
1050.06	8401	
1060.06	8461	
1070.06	8423	
1080.06	8468	
1090.06	8400	
1100.06	8441	
1110.06	8407	
1120.06	8385	
1130.06	8401	
1140.06	8373	
1150.06	8380	
1160.06	8407	
1170.06	8473	
1180.06	8472	
1190.06	8415	
1200.06	8430	
1210.06	8362	
1220.06	8272	
1230.07	8307	
1240.07	8418	
1250.07	8315	
1260.07	8222	
1270.07	8323	
1280.07	8300	
1290.07	8320	
1300.07	8300	
1310.07	8365	
1320.07	8332	
1330.07	8331	
1340.07	8173	
1350.07	8418	
1360.07	8388	
1370.07	8260	
1380.07	8383	
1390.07	8403	
1400.07	8300	
1410.07	8293	
1420.07	8346	
1430.07	8276	
1440.07	8273	
1450.07	8217	
1460.07	8532	
1470.07	8250	
1480.07	8226	
1490.07	8297	
1500.07	8262	
1510.08	8401	
1520.08	8201	
1530.08	8373	
1540.08	8272	
1550.08	8282	
1560.08	8277	
1570.08	8136	
1580.08	8203	
1590.08	8210	
1600.08	8195	
1610.08	8231	
1620.08	8306	
1630.08	8206	
1640.08	8091	
1650.08	8221	
1660.08	8296	
1670.08	8245	
1680.08	8240	
1690.08	8181	
1700.08	8173	
1710.08	8213	
1720.08	8175	
1730.08	8227	
1740.08	8283	
1750.08	8185	
1760.08	8115	
1770.08	8226	
1780.09	8185	
1790.09	8208	
1800.09	8206	
1810.09	8243	
1820.09	8288	
1830.09	8146	
1840.09	8242	
1850.09	8156	
1860.09	8063	
1870.09	8145	
1880.09	8121	
1890.09	8112	
1900.09	8117	
1910.09	8201	
1920.09	8027	
1930.09	8072	
1940.09	8092	
1950.09	8177	
1960.09	8027	
1970.09	8103	
1980.09	8042	
1990.09	8075	
2000.09	8097	
2010.09	8092	
2020.09	8111	
2030.09	8095	
2040.09	8166	
2050.09	8056	
2060.09	8101	
2070.09	8038	
2080.09	8066	
2090.1	8106	
2100.1	6962	
2110.1	653	
2120.1	662	
2130.1	660	
2140.1	663	
2150.1	656	
2160.1	660	
2170.1	658	
2180.1	670	
2190.1	670	
2200.1	666	
2210.1	661	
2220.1	661	
2230.1	670	
2240.1	670	

