A	S1R1	B	S1	C	R1
Time	S1 / R1	Time	S1	Time	R1
s	CPS / MicroAmps	s	CPS	s	MicroAmps
0	8997600.1889213	0	469911.666666667	0	0.0522263333333333
10	9022687.99928451	10	470793.333333333	10	0.0521788333333333
20	9000811.10252464	20	469773.333333333	20	0.0521923333333333
30	8991109.59083658	30	468750	30	0.0521348333333333
40	8988894.56216492	40	469460	40	0.0522266666666667
50	8977205.91994274	50	468275	50	0.0521626666666667
60	8963202.89567759	60	467195	60	0.0521236666666667
70	8972138.60244668	70	466940	70	0.0520433333333333
80	8970126.03777933	80	467113.333333333	80	0.0520743333333333
90	8946324.80163236	90	466218.333333333	90	0.0521128333333333
100	8948772.59351326	100	466793.333333333	100	0.0521628333333333
110	8952488.49960652	110	466421.666666667	110	0.0520996666666667
120	8917293.76186792	120	464915	120	0.0521363333333333
130	8959174.53207487	130	466698.333333333	130	0.0520916666666667
140	8965106.05648887	140	467388.333333333	140	0.0521341666666667
150	8926351.13527342	150	465211.666666667	150	0.0521166666666667
160	8914108.68194577	160	464206.666666667	160	0.0520755
170	8909647.25011283	170	463941.666666667	170	0.0520718333333333
180	5648887.97759936	180	293868.333333333	180	0.0520223333333333
190	5078833.94919021	190	264355	190	0.0520503333333333
200	4906627.47998246	200	255431.666666667	200	0.0520585
210	4790610.19070855	210	250028.333333333	210	0.0521913333333333
220	4670778.79905685	220	243325	220	0.0520951666666667
230	4533636.86719753	230	235991.666666667	230	0.0520535
240	4403919.79959497	240	229420	240	0.0520945
250	4278396.14471384	250	223133.333333333	250	0.0521535
260	4121533.16601848	260	215131.666666667	260	0.052197
270	3984960.4829015	270	207733.333333333	270	0.0521293333333333
280	3850565.6895132	280	200291.666666667	280	0.0520161666666667
290	3729361.95270571	290	194218.333333333	290	0.0520781666666667
300	3606335.00049472	300	188315	300	0.0522178333333333
310	3461842.07582687	310	180533.333333333	310	0.0521495
320	3352367.18929841	320	174756.666666667	320	0.0521293333333333
330	3228945.61910362	330	168391.666666667	330	0.0521506666666667
340	3103579.51565239	340	161731.666666667	340	0.0521113333333333
350	2985841.8338805	350	155673.333333333	350	0.0521371666666667
360	2850674.25065508	360	148681.666666667	360	0.0521566666666667
370	2771454.97628816	370	144445	370	0.0521188333333333
380	2653033.7984635	380	138191.666666667	380	0.0520881666666667
390	2524865.95881411	390	131620	390	0.0521295
400	2433615.44438085	400	126856.666666667	400	0.0521268333333333
410	2331748.58778724	410	121633.333333333	410	0.052164
420	2228198.34330419	420	116205	420	0.052152
430	2137079.63555365	430	111453.333333333	430	0.0521521666666667
440	2047598.33984562	440	106728.333333333	440	0.0521236666666667
450	1979388.89546357	450	103141.666666667	450	0.0521078333333333
460	1896542.35337372	460	98868.3333333333	460	0.0521308333333333
470	1819413.1646621	470	94923.3333333333	470	0.0521725
480	1735001.66151172	480	90500	480	0.0521613333333333
490	1670894.50892972	490	86946.6666666667	490	0.052036
500	1594386.89849919	500	83093.3333333333	500	0.0521161666666667
510	1519998.46571349	510	79255	510	0.0521415
520	1453711.13035531	520	75820	520	0.0521561666666667
530	1402365.3894075	530	73160	530	0.052169
540	1338570.10059321	540	69838.3333333333	540	0.0521738333333333
550	1283711.51715437	550	66813.3333333333	550	0.052047
560	1245642.53778599	560	64915	560	0.0521136666666667
570	1189639.78323239	570	62198.3333333333	570	0.0522833333333333
580	1145127.79987138	580	59653.3333333333	580	0.0520931666666667
590	1104334.83191989	590	57643.3333333333	590	0.0521973333333333
600	1048868.68873859	600	54770	600	0.0522181666666667
610	1015522.38233574	610	52960	610	0.0521505
620	982109.173684244	620	51198.3333333333	620	0.052131
630	943506.412690713	630	49276.6666666667	630	0.0522271666666667
640	913798.335702535	640	47676.6666666667	640	0.0521741666666667
650	884942.479217526	650	46218.3333333333	650	0.0522275
660	845402.212512426	660	44081.6666666667	660	0.0521428333333333
670	62085.3913905273	670	3236.66666666667	670	0.0521325
680	38994.6346448646	680	2035	680	0.0521866666666667
690	39430.2599263201	690	2055	690	0.0521173333333333
700	36195.8858727426	700	1888.33333333333	700	0.0521698333333333
710	34522.4028358829	710	1801.66666666667	710	0.0521883333333333
720	34139.4933316317	720	1783.33333333333	720	0.0522366666666667
730	34336.0525357574	730	1791.66666666667	730	0.0521803333333333
740	34058.3537395368	740	1773.33333333333	740	0.0520675
750	34547.2865985317	750	1800	750	0.0521025
760	34877.1474837032	760	1820	760	0.0521831666666667
770	34811.1280531661	770	1815	770	0.0521385
780	35792.2388364966	780	1866.66666666667	780	0.0521528333333333
790	32466.4939385216	790	1691.66666666667	790	0.052105
800	33001.3951027084	800	1715	800	0.0519675
810	35473.0379276312	810	1845	810	0.0520113333333333
820	36130.6330214801	820	1883.33333333333	820	0.0521256666666667
830	34176.5029348952	830	1781.66666666667	830	0.0521313333333333
840	35401.9158683882	840	1841.66666666667	840	0.0520216666666667
850	35444.3325822587	850	1848.33333333333	850	0.0521475
860	33811.5573468963	860	1761.66666666667	860	0.0521025
870	36508.4845462334	870	1903.33333333333	870	0.052134
880	36602.753038508	880	1908.33333333333	880	0.0521363333333333
890	36446.9503278306	890	1898.33333333333	890	0.0520848333333333
900	36863.0563057586	900	1920	900	0.0520846666666667
