A	S1R1	B	S1	C	R1
Time	S1 / R1	Time	S1	Time	R1
s	CPS / MicroAmps	s	CPS	s	MicroAmps
0	9299114.69149216	0	482125	0	0.0518463333333333
10	9243301.38547737	10	479796.666666667	10	0.0519075
20	9259823.13705756	20	481500	20	0.0519988333333333
30	9244415.77033321	30	480011.666666667	30	0.0519245
40	9249787.25310163	40	481880	40	0.0520963333333333
50	9216904.7108076	50	479581.666666667	50	0.0520328333333333
60	9224449.80886581	60	480203.333333333	60	0.0520576666666667
70	9242656.49451017	70	481368.333333333	70	0.0520811666666667
80	9227020.59332121	80	479348.333333333	80	0.0519505
90	9170901.7221312	90	476705	90	0.0519801666666667
100	9223120.5070208	100	480480	100	0.0520951666666667
110	9243696.40343018	110	481473.333333333	110	0.0520866666666667
120	9228616.49131581	120	479805	120	0.051991
130	9176391.31760063	130	476660	130	0.0519441666666667
140	9189398.26792581	140	477135	140	0.0519223333333333
150	9161256.03493539	150	476916.666666667	150	0.052058
160	9183831.84195903	160	479295	160	0.052189
170	9149970.4562513	170	477468.333333333	170	0.0521825
180	5502499.07323371	180	286970	180	0.0521526666666667
190	4555475.89173687	190	237206.666666667	190	0.0520706666666667
200	4129463.5703435	200	214750	200	0.0520043333333333
210	3797621.82774406	210	197851.666666667	210	0.0520988333333333
220	3495023.5624958	220	182075	220	0.0520955
230	3226573.13538013	230	167886.666666667	230	0.0520325
240	2996479.2448124	240	156175	240	0.0521195
250	2798411.16671529	250	145483.333333333	250	0.0519878333333333
260	2606307.11869176	260	135843.333333333	260	0.052121
270	2417133.34826715	270	125888.333333333	270	0.0520816666666667
280	2238032.92988769	280	116308.333333333	280	0.051969
290	2082597.11659112	290	108436.666666667	290	0.052068
300	1925743.5096023	300	100225	300	0.0520448333333333
310	1789621.59670698	310	93185	310	0.0520696666666667
320	1676842.55035621	320	87245	320	0.0520293333333333
330	1568072.35089158	330	81606.6666666667	330	0.0520426666666667
340	1449558.66027239	340	75515	340	0.0520951666666667
350	1358393.61644265	350	70761.6666666667	350	0.0520921666666667
360	1269700.25465205	360	65981.6666666667	360	0.0519663333333333
370	1184121.27572438	370	61681.6666666667	370	0.0520906666666667
380	1105596.85037357	380	57661.6666666667	380	0.0521543333333333
390	1039338.45699842	390	54003.3333333333	390	0.0519593333333333
400	965315.570400658	400	50286.6666666667	400	0.0520935
410	904650.329056875	410	47103.3333333333	410	0.052068
420	858682.738280137	420	44690	420	0.0520448333333333
430	803845.576277306	430	41931.6666666667	430	0.0521638333333333
440	766221.541505129	440	40021.6666666667	440	0.0522325
450	717544.998449156	450	37400	450	0.0521221666666667
460	674396.698663318	460	35081.6666666667	460	0.0520193333333333
470	639958.809307561	470	33351.6666666667	470	0.0521153333333333
480	609332.054969639	480	31776.6666666667	480	0.05215
490	578495.974565407	490	30083.3333333333	490	0.0520026666666667
500	540081.194964116	500	28070	500	0.0519736666666667
510	510540.289817984	510	26600	510	0.0521016666666667
520	496094.149534622	520	25868.3333333333	520	0.052144
530	469515.684087037	530	24480	530	0.0521388333333333
540	443992.06164053	540	23155	540	0.0521518333333333
550	427086.332085852	550	22253.3333333333	550	0.052105
560	407114.270736105	560	21226.6666666667	560	0.0521393333333333
570	393521.997895673	570	20508.3333333333	570	0.0521148333333333
580	373511.344717387	580	19518.3333333333	580	0.0522563333333333
590	359156.726414493	590	18768.3333333333	590	0.0522566666666667
600	344780.175859313	600	17971.6666666667	600	0.052125
610	329690.689376491	610	17201.6666666667	610	0.0521751666666667
620	313403.71081254	620	16328.3333333333	620	0.0521
630	302889.437236329	630	15855	630	0.0523458333333333
640	289850.907360751	640	15128.3333333333	640	0.0521935
650	279997.952249006	650	14585	650	0.0520896666666667
660	265515.895112101	660	13828.3333333333	660	0.052081
670	265326.665281928	670	13838.3333333333	670	0.0521558333333333
680	251113.694519438	680	13068.3333333333	680	0.0520415
690	244134.067494196	690	12725	690	0.052123
700	231562.348763345	700	12041.6666666667	700	0.0520018333333333
710	221913.786541899	710	11565	710	0.0521148333333333
720	28157.5801739953	720	1468.33333333333	720	0.052147
730	21693.4293509863	730	1131.66666666667	730	0.0521663333333333
740	20405.2957969561	740	1065	740	0.0521923333333333
750	22190.0811933474	750	1158.33333333333	750	0.0522005
760	21113.7841019604	760	1100	760	0.0520986666666667
770	20655.0793589891	770	1076.66666666667	770	0.052126
780	20987.9703097005	780	1093.33333333333	780	0.0520933333333333
790	22426.7685909902	790	1166.66666666667	790	0.0520211666666667
800	23288.7258926546	800	1215	800	0.0521711666666667
810	21404.4514869704	810	1116.66666666667	810	0.0521698333333333
820	21078.4219650591	820	1098.33333333333	820	0.052107
830	22549.4648900034	830	1175	830	0.0521076666666667
840	20342.561051672	840	1060	840	0.0521075
850	21608.4899629203	850	1126.66666666667	850	0.05214
860	22800.2404737845	860	1188.33333333333	860	0.0521193333333333
870	21782.9330719381	870	1133.33333333333	870	0.0520285
880	23011.8291683736	880	1198.33333333333	880	0.0520746666666667
890	21391.5028729844	890	1115	890	0.0521235
