A	S1R1	B	S1	C	R1
Time	S1 / R1	Time	S1	Time	R1
s	CPS / MicroAmps	s	CPS	s	MicroAmps
0	7782413.5573984	0	402283.333333333	0	0.0516913333333333
10	7785897.81662772	10	402006.666666667	10	0.0516326666666667
20	7778406.81168235	20	400738.333333333	20	0.0515193333333333
30	7777770.60378808	30	401541.666666667	30	0.0516268333333333
40	7754558.45895931	40	399341.666666667	40	0.0514976666666667
50	7803581.22277787	50	403120	50	0.0516583333333333
60	7743563.57953133	60	399675	60	0.0516138333333333
70	7743765.05071243	70	399818.333333333	70	0.051631
80	7758933.842625	80	400843.333333333	80	0.0516621666666667
90	7743360.83246188	90	399851.666666667	90	0.051638
100	7765171.09479996	100	400600	100	0.0515893333333333
110	7753939.55050375	110	400206.666666667	110	0.0516133333333333
120	7774303.57240814	120	401546.666666667	120	0.0516505
130	7743372.8326499	130	399700	130	0.0516183333333333
140	7711197.50915515	140	398328.333333333	140	0.0516558333333333
150	7739368.74180907	150	399601.666666667	150	0.0516323333333333
160	7742418.81161582	160	399613.333333333	160	0.0516135
170	7740151.45892959	170	399803.333333333	170	0.0516531666666667
180	7739598.55368369	180	399916.666666667	180	0.0516715
190	2477055.05497764	190	128108.333333333	190	0.051718
200	651483.563650916	200	33645	200	0.0516436666666667
210	278515.102784182	210	14375	210	0.051613
220	171793.241249746	220	8870	220	0.0516318333333333
230	125025.428079704	230	6453.33333333333	230	0.0516161666666667
240	108378.867734533	240	5596.66666666667	240	0.0516398333333333
250	94370.668628286	250	4875	250	0.051658
260	85707.0020942712	260	4426.66666666667	260	0.0516488333333333
270	78559.6430105166	270	4055	270	0.0516168333333333
280	74105.8581374491	280	3828.33333333333	280	0.0516603333333333
290	65758.7235071319	290	3400	290	0.0517041666666667
300	60593.9431855194	300	3131.66666666667	300	0.0516828333333333
310	57148.7577970461	310	2951.66666666667	310	0.0516488333333333
320	53729.476758053	320	2778.33333333333	320	0.0517096666666667
330	51031.2841150594	330	2633.33333333333	330	0.0516023333333333
340	47692.4419111874	340	2460	340	0.0515805
350	46852.4631424063	350	2420	350	0.0516515
360	46665.9987784108	360	2406.66666666667	360	0.0515721666666667
370	42204.9679435549	370	2183.33333333333	370	0.0517316666666667
380	40695.8933264539	380	2103.33333333333	380	0.0516841666666667
390	38678.1788728902	390	2001.66666666667	390	0.0517518333333333
400	38601.0888146987	400	1998.33333333333	400	0.0517688333333333
410	35407.264304244	410	1826.66666666667	410	0.0515901666666667
420	35277.4708767033	420	1820	420	0.051591
430	33429.7218273195	430	1728.33333333333	430	0.0517005
440	32399.4234382641	440	1678.33333333333	440	0.0518013333333333
450	33487.759868888	450	1730	450	0.0516606666666667
460	32249.8460069853	460	1666.66666666667	460	0.0516798333333333
470	31292.7011627607	470	1618.33333333333	470	0.051716
480	29321.6390474012	480	1516.66666666667	480	0.0517251666666667
490	31192.482805386	490	1610	490	0.051615
500	28518.7643802244	500	1475	500	0.0517203333333333
510	29803.9064060678	510	1541.66666666667	510	0.051727
520	27123.6988498138	520	1406.66666666667	520	0.0518611666666667
530	26996.6760945881	530	1398.33333333333	530	0.0517965
540	27224.7800269993	540	1408.33333333333	540	0.0517298333333333
550	25035.8923069478	550	1293.33333333333	550	0.0516591666666667
560	25553.0314015499	560	1321.66666666667	560	0.0517225
570	26091.5558823719	570	1348.33333333333	570	0.051677
580	25999.2139023306	580	1345	580	0.0517323333333333
590	24769.1961269984	590	1283.33333333333	590	0.0518116666666667
600	23951.5545914678	600	1236.66666666667	600	0.051632
610	23874.8840086607	610	1235	610	0.051728
620	23447.7161022681	620	1213.33333333333	620	0.0517463333333333
630	24189.2884290813	630	1251.66666666667	630	0.0517446666666667
640	20657.1682304336	640	1070	640	0.051798
650	20513.085155106	650	1060	650	0.0516743333333333
660	21545.7638455651	660	1116.66666666667	660	0.0518276666666667
670	20894.5709530049	670	1081.66666666667	670	0.0517678333333333
680	12632.1216808456	680	653.333333333333	680	0.05172
690	10602.3009248816	690	548.333333333333	690	0.0517183333333333
700	11199.0011005915	700	580	700	0.0517903333333333
710	11859.6819155964	710	613.333333333333	710	0.0517158333333333
720	10282.8923616484	720	531.666666666667	720	0.051704
730	11491.8411156124	730	593.333333333333	730	0.0516308333333333
740	11217.4114855979	740	580	740	0.0517053333333333
750	12379.3496972862	750	640	750	0.051699
760	11937.974019622	760	618.333333333333	760	0.0517955
770	10871.8795769968	770	561.666666666667	770	0.0516623333333333
780	11575.3055848431	780	598.333333333333	780	0.0516905
790	11054.6382748318	790	571.666666666667	790	0.0517128333333333
800	11354.7654531261	800	586.666666666667	800	0.051667
810	11761.2182688776	810	608.333333333333	810	0.0517236666666667
820	11876.2552139657	820	615	820	0.051784
830	12117.8916157726	830	626.666666666667	830	0.0517141666666667
840	10567.7933609771	840	546.666666666667	840	0.0517295
