A	S1R1	B	S1	C	R1
Time	S1 / R1	Time	S1	Time	R1
s	CPS / MicroAmps	s	CPS	s	MicroAmps
0	5587788.12434307	0	289733.333333333	0	0.0518511666666667
10	5596505.7193455	10	290213.333333333	10	0.0518561666666667
20	5594083.96086035	20	289473.333333333	20	0.0517463333333333
30	5559483.06916426	30	288085	30	0.0518186666666667
40	5580991.69827847	40	288851.666666667	40	0.0517563333333333
50	5591409.26640927	50	289635	50	0.0518
60	5589286.11626538	60	289675	60	0.0518268333333333
70	5585975.31753664	70	289455	70	0.0518181666666667
80	5556895.39299576	80	288016.666666667	80	0.0518305
90	5545418.84226859	90	287106.666666667	90	0.0517736666666667
100	5563822.14982245	100	288040	100	0.0517701666666667
110	5574630.2554306	110	288410	110	0.0517361666666667
120	5544053.93940173	120	287518.333333333	120	0.0518606666666667
130	5565690.72218171	130	287488.333333333	130	0.0516536666666667
140	5552101.13513113	140	287518.333333333	140	0.0517855
150	5565173.1324917	150	287930	150	0.0517378333333333
160	5566689.39169808	160	288506.666666667	160	0.0518273333333333
170	5580951.64554437	170	289101.666666667	170	0.0518015
180	3831030.23581225	180	198040	180	0.0516936666666667
190	3404250.52181308	190	176145	190	0.0517426666666667
200	3295936.02288947	200	170488.333333333	200	0.0517268333333333
210	3245587.77613617	210	168051.666666667	210	0.0517785
220	3201782.59080152	220	165963.333333333	220	0.0518346666666667
230	3143724.24635865	230	162631.666666667	230	0.0517321666666667
240	3100300.52833783	240	160588.333333333	240	0.0517976666666667
250	3058186.52116283	250	158428.333333333	250	0.0518046666666667
260	2963918.60641382	260	153160	260	0.0516748333333333
270	2923844.61549344	270	151563.333333333	270	0.051837
280	2868585.67586759	280	148801.666666667	280	0.0518728333333333
290	2806388.08621278	290	145355	290	0.0517943333333333
300	2741474.16158831	300	141856.666666667	300	0.0517446666666667
310	2675310.96289047	310	138513.333333333	310	0.0517746666666667
320	2630274.62995922	320	136208.333333333	320	0.0517848333333333
330	2594250.62328456	330	134058.333333333	330	0.0516751666666667
340	2529082.31988296	340	130806.666666667	340	0.051721
350	2479014.17287367	350	128415	350	0.0518008333333333
360	2428659.3797645	360	125576.666666667	360	0.0517061666666667
370	2371922.49950064	370	122706.666666667	370	0.051733
380	2324776.63108445	380	120253.333333333	380	0.0517268333333333
390	2277199.62462148	390	117688.333333333	390	0.0516811666666667
400	2228562.59082283	400	115275	400	0.0517261666666667
410	2162729.65879265	410	111926.666666667	410	0.0517525
420	2145281.97870289	420	110905	420	0.0516971666666667
430	2086962.97443442	430	107808.333333333	430	0.051658
440	2046238.74077616	440	105560	440	0.0515873333333333
450	2003094.15534081	450	103365	450	0.0516026666666667
460	1950261.31646825	460	100940	460	0.0517571666666667
470	1924028.29131292	470	99563.3333333333	470	0.0517473333333333
480	1873254.27430968	480	96910	480	0.0517335
490	1835527.3986529	490	94790	490	0.0516418333333333
500	1792246.4536208	500	92715	500	0.0517311666666667
510	1737584.08703209	510	89975	510	0.0517816666666667
520	1720466.14757902	520	88973.3333333333	520	0.0517146666666667
530	1677658.24658028	530	86915	530	0.0518073333333333
540	1657386.36729387	540	85823.3333333333	540	0.0517823333333333
550	1610048.64010507	550	83360	550	0.0517748333333333
560	1579391.81022674	560	81671.6666666667	560	0.0517108333333333
570	1559953.35923056	570	80716.6666666667	570	0.051743
580	1521499.55531495	580	78695	580	0.051722
590	1495616.96214693	590	77316.6666666667	590	0.0516955
600	1487476.88524431	600	76820	600	0.0516445
610	1435261.73462645	610	74216.6666666667	610	0.0517095
620	1405454.10666881	620	72796.6666666667	620	0.0517958333333333
630	1389924.44136553	630	71895	630	0.0517258333333333
640	1336583.82835843	640	69263.3333333333	640	0.0518211666666667
650	1319274.83440504	650	68150	650	0.0516571666666667
660	1302167.32816368	660	67421.6666666667	660	0.0517765
670	1283913.52874388	670	66528.3333333333	670	0.0518168333333333
680	73039.3147911031	680	3793.33333333333	680	0.0519355
690	21120.208111319	690	1093.33333333333	690	0.0517671666666667
700	17404.5958408796	700	903.333333333333	700	0.051902
710	18153.4433502937	710	938.333333333333	710	0.051689
720	17406.0476345504	720	900	720	0.0517061666666667
730	19396.7389031675	730	1005	730	0.0518128333333333
740	16961.8085729551	740	878.333333333333	740	0.051783
750	18509.116382496	750	960	750	0.0518663333333333
760	17815.3772800783	760	921.666666666667	760	0.0517343333333333
770	16744.2279014758	770	868.333333333333	770	0.0518586666666667
780	17892.0235685577	780	926.666666666667	780	0.0517921666666667
790	18789.5189113622	790	976.666666666667	790	0.0519793333333333
800	18890.7165621466	800	980	800	0.0518773333333333
810	17712.7132919287	810	918.333333333333	810	0.051846
820	20008.0931612787	820	1038.33333333333	820	0.0518956666666667
830	18635.7955074881	830	966.666666666667	830	0.0518715
