A	S1R1	B	S1	C	R1
Time	S1 / R1	Time	S1	Time	R1
s	CPS / MicroAmps	s	CPS	s	MicroAmps
0	7607581.37618459	0	384658.333333333	0	0.0505625
10	7627561.61385793	10	385728.333333333	10	0.0505703333333333
20	7667887.34620755	20	388066.666666667	20	0.0506093333333333
30	7642214.8790795	30	386996.666666667	30	0.0506393333333333
40	7620194.36666118	40	385518.333333333	40	0.0505916666666667
50	7593695.83698539	50	384091.666666667	50	0.0505803333333333
60	7628888.05434217	60	385968.333333333	60	0.050593
70	7626853.55665103	70	385240	70	0.050511
80	7641679.49144667	80	386476.666666667	80	0.0505748333333333
90	7631480.02822493	90	385743.333333333	90	0.0505463333333333
100	7576923.07692308	100	383165	100	0.05057
110	7599431.58401445	110	384150	110	0.0505498333333333
120	7625573.93463897	120	385861.666666667	120	0.050601
130	7605973.02504817	130	384223.333333333	130	0.050516
140	7609309.16475995	140	384668.333333333	140	0.0505523333333333
150	7623897.86133991	150	385355	150	0.0505456666666667
160	7598368.42729033	160	384675	160	0.050626
170	7607962.33583877	170	383790	170	0.0504458333333333
180	7572662.43063666	180	382563.333333333	180	0.050519
190	7611823.84719465	190	385360	190	0.0506265
200	7600277.90033783	200	384708.333333333	200	0.0506176666666667
210	3293078.04625623	210	166518.333333333	210	0.0505661666666667
220	1428557.28061112	220	72123.3333333333	220	0.0504868333333333
230	784529.767069015	230	39636.6666666667	230	0.0505228333333333
240	492038.090722301	240	24905	240	0.050616
250	351907.60900034	250	17785	250	0.0505388333333333
260	257269.623447525	260	12998.3333333333	260	0.0505241666666667
270	205642.032980638	270	10381.6666666667	270	0.0504841666666667
280	176804.07101185	280	8935	280	0.0505361666666667
290	141187.94203586	290	7143.33333333333	290	0.0505945
300	124691.07325271	300	6306.66666666667	300	0.0505783333333333
310	116709.477705328	310	5906.66666666667	310	0.05061
320	104570.113485153	320	5278.33333333333	320	0.0504765
330	90152.7946376735	330	4555	330	0.0505253333333333
340	79576.3844212402	340	4020	340	0.0505175
350	71680.2091965939	350	3618.33333333333	350	0.0504788333333333
360	65547.2038682732	360	3316.66666666667	360	0.0505996666666667
370	60669.4077808516	370	3066.66666666667	370	0.0505471666666667
380	52880.4362142086	380	2676.66666666667	380	0.0506173333333333
390	50020.265127176	390	2530	390	0.0505795
400	49343.7349310046	400	2490	400	0.0504623333333333
410	47003.1774016354	410	2381.66666666667	410	0.0506703333333333
420	44800.0632471481	420	2266.66666666667	420	0.0505951666666667
430	41193.7261327449	430	2078.33333333333	430	0.0504526666666667
440	41114.3030334976	440	2080	440	0.0505906666666667
450	39089.6656284504	450	1976.66666666667	450	0.0505675
460	40028.7521184904	460	2023.33333333333	460	0.050547
470	35947.1632712907	470	1818.33333333333	470	0.0505835
480	36423.7538202129	480	1843.33333333333	480	0.050608
490	37199.9762553343	490	1880	490	0.0505376666666667
500	35974.6596079026	500	1820	500	0.0505911666666667
510	32400.7253006398	510	1635	510	0.0504618333333333
520	34996.0877015164	520	1766.66666666667	520	0.0504818333333333
530	32889.848726509	530	1660	530	0.0504715
540	31413.5434609014	540	1586.66666666667	540	0.050509
550	29705.4212393762	550	1500	550	0.0504958333333333
560	31844.8240622919	560	1610	560	0.0505576666666667
570	31265.9583230376	570	1581.66666666667	570	0.0505875
580	28686.9687216308	580	1448.33333333333	580	0.0504875
590	30502.1813181559	590	1541.66666666667	590	0.0505428333333333
600	28663.5023567402	600	1448.33333333333	600	0.0505288333333333
610	27894.601321775	610	1408.33333333333	610	0.0504876666666667
620	31163.0238355911	620	1575	620	0.0505406666666667
630	28958.581955101	630	1460	630	0.0504168333333333
640	27998.7336261823	640	1415	640	0.050538
650	25027.6161113218	650	1265	650	0.0505441666666667
660	27866.8976830289	660	1410	660	0.0505976666666667
670	28173.1029340934	670	1423.33333333333	670	0.050521
680	28551.3412528923	680	1441.66666666667	680	0.0504938333333333
690	27019.7332912076	690	1368.33333333333	690	0.050642
700	26833.0712658683	700	1356.66666666667	700	0.0505595
710	26389.4784293983	710	1336.66666666667	710	0.0506515
720	24603.2478925636	720	1243.33333333333	720	0.0505353333333333
730	26555.9619122928	730	1343.33333333333	730	0.050585
740	26086.6987480361	740	1320	740	0.0506005
750	27163.8799514742	750	1373.33333333333	750	0.0505573333333333
760	27483.8577702112	760	1388.33333333333	760	0.0505145
770	24709.4172531035	770	1250	770	0.050588
780	25580.4217473142	780	1293.33333333333	780	0.0505595
790	27728.0475300277	790	1401.66666666667	790	0.0505505
800	26352.5443381559	800	1333.33333333333	800	0.050596
810	24616.8244625986	810	1245	810	0.0505751666666667
820	24956.4827513451	820	1261.66666666667	820	0.0505546666666667
830	23255.584465138	830	1178.33333333333	830	0.0506688333333333
840	24312.6247751576	840	1230	840	0.050591
850	24750.4358515501	850	1251.66666666667	850	0.0505715
860	20500.3531711484	860	1040	860	0.0507308333333333
870	23697.3081442169	870	1196.66666666667	870	0.050498
880	29430.7848649219	880	1486.66666666667	880	0.050514
890	23244.3892000963	890	1175	890	0.0505498333333333
900	21764.9712379692	900	1101.66666666667	900	0.0506165
910	22287.7226299513	910	1126.66666666667	910	0.050551
920	21934.1645227258	920	1108.33333333333	920	0.05053
930	23124.0529679162	930	1170	930	0.0505966666666667
940	23948.2243348265	940	1210	940	0.0505256666666667
950	22870.2679934713	950	1158.33333333333	950	0.050648
960	23243.6400989007	960	1176.66666666667	960	0.0506231666666667
970	24229.597689782	970	1225	970	0.050558
980	24404.2822608495	980	1236.66666666667	980	0.0506741666666667
990	22745.4781000603	990	1150	990	0.0505595
1000	22260.9337078615	1000	1126.66666666667	1000	0.0506118333333333
1010	22446.6891133558	1010	1136.66666666667	1010	0.0506385
