A	S1R1	B	S1	C	R1
Time	S1 / R1	Time	S1	Time	R1
s	CPS / MicroAmps	s	CPS	s	MicroAmps
0	9063786.93794297	0	468060	0	0.0516406666666667
10	9060870.69021282	10	466906.666666667	10	0.05153
20	9044207.84855568	20	466928.333333333	20	0.0516273333333333
30	8990479.20066568	30	464595	30	0.0516763333333333
40	9037655.4185531	40	466778.333333333	40	0.0516481666666667
50	9021346.46962233	50	466990	50	0.051765
60	9049959.68392195	60	467656.666666667	60	0.051675
70	9030087.60499052	70	466596.666666667	70	0.0516713333333333
80	9021204.49794333	80	466776.666666667	80	0.0517421666666667
90	9016111.82554493	90	466236.666666667	90	0.0517115
100	9004948.48287386	100	465246.666666667	100	0.0516656666666667
110	9005562.60997918	110	465716.666666667	110	0.0517143333333333
120	9035217.41511324	120	467486.666666667	120	0.0517405
130	9017212.21321018	130	467305	130	0.0518236666666667
140	9045094.37422186	140	468591.666666667	140	0.0518061666666667
150	9002570.21446333	150	466436.666666667	150	0.0518115
160	9051213.37291855	160	467465	160	0.0516466666666667
170	9028231.72144015	170	467746.666666667	170	0.0518093333333333
180	9064563.21472416	180	468860	180	0.0517245
190	9020544.90335786	190	467165	190	0.051789
200	9027422.10325245	200	467083.333333333	200	0.0517405
210	5751427.02521615	210	297575	210	0.0517393333333333
220	4911831.73671199	220	254315	220	0.051776
230	4607577.32855055	230	238486.666666667	230	0.0517596666666667
240	4374212.8261149	240	226905	240	0.0518733333333333
250	4168741.42655671	250	216275	250	0.0518801666666667
260	3975587.25883741	260	206166.666666667	260	0.0518581666666667
270	3751722.62792525	270	194196.666666667	270	0.051762
280	3575574.10064536	280	185235	280	0.0518056666666667
290	3403630.3502947	290	176321.666666667	290	0.051804
300	3242352.80477672	300	167795	300	0.051751
310	3068362.32676292	310	159038.333333333	310	0.0518316666666667
320	2879847.69108562	320	149246.666666667	320	0.0518245
330	2747873.98841701	330	142498.333333333	330	0.0518576666666667
340	2606039.14499099	340	134923.333333333	340	0.0517733333333333
350	2475636.7894935	350	128245	350	0.0518028333333333
360	2327876.86922503	360	120593.333333333	360	0.051804
370	2202443.76383384	370	114098.333333333	370	0.0518053333333333
380	2074955.26521224	380	107648.333333333	380	0.0518798333333333
390	1957512.650023	390	101421.666666667	390	0.0518115
400	1858158.6284744	400	96300	400	0.0518255
410	1741365.93249861	410	90145	410	0.0517668333333333
420	1645326.27809264	420	85301.6666666667	420	0.0518448333333333
430	1547191.31509813	430	80095	430	0.051768
440	1453682.90119469	440	75380	440	0.0518545
450	1384122.89873723	450	71703.3333333333	450	0.0518041666666667
460	1289704.14811282	460	66711.6666666667	460	0.0517263333333333
470	1207977.68461828	470	62576.6666666667	470	0.0518028333333333
480	1135360.81680819	480	59010	480	0.0519746666666667
490	1066258.63796337	490	55341.6666666667	490	0.0519026666666667
500	1015494.40658352	500	52650	500	0.0518466666666667
510	958840.202951614	510	49670	510	0.0518021666666667
520	921037.798141497	520	47658.3333333333	520	0.0517441666666667
530	862782.912686485	530	44588.3333333333	530	0.0516796666666667
540	809889.940341493	540	41993.3333333333	540	0.0518506666666667
550	777986.606455586	550	40428.3333333333	550	0.0519653333333333
560	736963.601932914	560	38203.3333333333	560	0.0518388333333333
570	694732.776517163	570	35975	570	0.0517825
580	665260.989232082	580	34443.3333333333	580	0.0517741666666667
590	632819.029251045	590	32811.6666666667	590	0.05185
600	608186.570164857	600	31511.6666666667	600	0.0518125
610	584050.579964285	610	30253.3333333333	610	0.0517991666666667
620	555371.741539648	620	28815	620	0.0518841666666667
630	530298.160124458	630	27496.6666666667	630	0.0518513333333333
640	505319.746810239	640	26225	640	0.0518978333333333
650	485192.348469758	650	25170	650	0.0518763333333333
660	466876.56621474	660	24220	660	0.0518766666666667
670	451894.154620543	670	23461.6666666667	670	0.0519185
680	430558.771320522	680	22315	680	0.051828
690	420368.566090762	690	21788.3333333333	690	0.0518315
700	381529.460927706	700	19781.6666666667	700	0.0518483333333333
710	374249.473907755	710	19385	710	0.051797
720	359744.610260598	720	18650	720	0.0518423333333333
730	347367.574953782	730	18006.6666666667	730	0.0518375
740	42158.2446722921	740	2183.33333333333	740	0.051789
750	21380.9664453662	750	1110	750	0.0519153333333333
760	19266.7109063689	760	1001.66666666667	760	0.0519895
770	19306.6909550398	770	1003.33333333333	770	0.0519681666666667
780	20246.0375612202	780	1050	780	0.051862
790	19542.7384905163	790	1013.33333333333	790	0.0518521666666667
800	18924.1203818239	800	981.666666666667	800	0.0518738333333333
810	18902.3762987347	810	980	810	0.0518453333333333
820	20954.8456873576	820	1085	820	0.051778
830	20489.3025287268	830	1063.33333333333	830	0.051897
840	19167.4827027114	840	995	840	0.0519108333333333
850	18994.6930367765	850	986.666666666667	850	0.0519443333333333
860	19066.9683199918	860	991.666666666667	860	0.0520096666666667
870	19908.9966186817	870	1033.33333333333	870	0.0519028333333333
880	19354.5483188549	880	1003.33333333333	880	0.0518396666666667
890	19007.6159110791	890	985	890	0.0518213333333333
900	18596.3751521595	900	965	900	0.0518918333333333
910	21191.2096675649	910	1098.33333333333	910	0.0518296666666667
