A	S1R1	B	S1	C	R1
Time	S1 / R1	Time	S1	Time	R1
s	CPS / MicroAmps	s	CPS	s	MicroAmps
0	8939451.84172064	0	444451.666666667	0	0.049718
10	8972236.1935419	10	445965	10	0.049705
20	8961924.06214678	20	446653.333333333	20	0.049839
30	8945553.72753744	30	444953.333333333	30	0.0497401666666667
40	8930568.72593729	40	444205	40	0.0497398333333333
50	8920145.46429589	50	443561.666666667	50	0.0497258333333333
60	8926564.03144398	60	446271.666666667	60	0.0499936666666667
70	8928836.7952125	70	444623.333333333	70	0.0497963333333333
80	8937689.0583179	80	444678.333333333	80	0.0497531666666667
90	8923255.02805539	90	444486.666666667	90	0.0498121666666667
100	8932855.68408189	100	444685	100	0.0497808333333333
110	8933605.3722113	110	445886.666666667	110	0.0499111666666667
120	8958693.74995825	120	447071.666666667	120	0.0499036666666667
130	8946267.24999415	130	446125	130	0.0498671666666667
140	8919806.71808375	140	444878.333333333	140	0.0498753333333333
150	8943830.16068145	150	445016.666666667	150	0.0497568333333333
160	8919815.90847563	160	444800	160	0.0498665
170	8916950.7540977	170	445100	170	0.0499161666666667
180	8906521.25826971	180	442918.333333333	180	0.0497296666666667
190	5845934.17911146	190	291375	190	0.0498423333333333
200	5135734.85196371	200	255365	200	0.0497231666666667
210	4912706.35401363	210	244668.333333333	210	0.0498031666666667
220	4817050.11926787	220	239975	220	0.0498178333333333
230	4683488.77316947	230	233093.333333333	230	0.0497691666666667
240	4543620.89507157	240	225640	240	0.0496608333333333
250	4406412.5653609	250	219385	250	0.0497876666666667
260	4291086.04291086	260	213400	260	0.049731
270	4148193.02514736	270	206551.666666667	270	0.0497931666666667
280	4027096.35560372	280	200688.333333333	280	0.0498345
290	3901527.07018096	290	194258.333333333	290	0.0497903333333333
300	3772745.54468712	300	187706.666666667	300	0.0497533333333333
310	3652738.52418394	310	181801.666666667	310	0.0497713333333333
320	3529419.65108679	320	175503.333333333	320	0.0497258333333333
330	3428629.88291404	330	170378.333333333	330	0.0496928333333333
340	3314718.46688496	340	165010	340	0.049781
350	3216100.88784781	350	160410	350	0.0498771666666667
360	3099451.82451687	360	154263.333333333	360	0.0497711666666667
370	2985147.58665024	370	148596.666666667	370	0.0497786666666667
380	2886842.44907257	380	143626.666666667	380	0.0497521666666667
390	2789275.68235132	390	138523.333333333	390	0.0496628333333333
400	2707951.98623971	400	134870	400	0.0498051666666667
410	2603533.06262365	410	129621.666666667	410	0.0497868333333333
420	2496567.24515563	420	124243.333333333	420	0.0497656666666667
430	2409665.15146954	430	120070	430	0.0498285
440	2337526.03026363	440	116553.333333333	440	0.0498618333333333
450	2250679.44787329	450	112073.333333333	450	0.0497953333333333
460	2177677.8165072	460	108603.333333333	460	0.0498711666666667
470	2091897.33569328	470	104203.333333333	470	0.0498128333333333
480	2025871.72465905	480	100986.666666667	480	0.0498485
490	1975552.52496891	490	98505	490	0.049862
500	1915444.46372092	500	95686.6666666667	500	0.0499553333333333
510	1841354.74757483	510	91681.6666666667	510	0.0497903333333333
520	1783346.03403789	520	88928.3333333333	520	0.049866
530	1728658.70952888	530	86343.3333333333	530	0.0499481666666667
540	1670328.6428872	540	83370	540	0.0499123333333333
550	1625703.45507072	550	81126.6666666667	550	0.0499025
560	1574368.38428707	560	78506.6666666667	560	0.0498655
570	1522690.62428012	570	76015	570	0.0499215
580	1478769.98507069	580	73793.3333333333	580	0.0499018333333333
590	1430024.93431732	590	71211.6666666667	590	0.0497975
600	1393778.40149693	600	69521.6666666667	600	0.04988
610	1358549.59688741	610	67740	610	0.049862
620	1312300.96273053	620	65451.6666666667	620	0.0498755
630	1281410.64396204	630	63938.3333333333	630	0.0498968333333333
640	1254678.32834423	640	62521.6666666667	640	0.0498308333333333
650	1213532.23726843	650	60550	650	0.0498956666666667
660	1168315.50802139	660	58260	660	0.0498666666666667
670	1150183.98264781	670	57358.3333333333	670	0.0498688333333333
680	1117668.30057711	680	55711.6666666667	680	0.0498463333333333
690	1078039.78157298	690	53665	690	0.0497801666666667
700	72270.3170471745	700	3605	700	0.0498821666666667
710	44011.201636134	710	2195	710	0.0498736666666667
720	44269.2237015753	720	2208.33333333333	720	0.0498841666666667
730	44223.974541966	730	2205	730	0.0498598333333333
740	42941.1882283179	740	2148.33333333333	740	0.0500296666666667
750	43658.6408700997	750	2178.33333333333	750	0.0498946666666667
760	42676.7668348176	760	2133.33333333333	760	0.0499881666666667
770	41400.880144619	770	2065	770	0.0498781666666667
780	43666.3688653771	780	2175	780	0.0498095
790	42814.8683752444	790	2131.66666666667	790	0.049788
800	44470.1338447454	800	2218.33333333333	800	0.0498836666666667
810	43827.5625929081	810	2186.66666666667	810	0.0498925
820	44523.0013189521	820	2216.66666666667	820	0.049787
830	44899.9772827496	830	2240	830	0.0498886666666667
840	43073.1305390505	840	2143.33333333333	840	0.0497603333333333
