A	S1R1	B	S1	C	R1
Time	S1 / R1	Time	S1	Time	R1
s	CPS / MicroAmps	s	CPS	s	MicroAmps
0	9381294.27225232	0	487811.666666667	0	0.0519983333333333
10	9367906.01633941	10	486950	10	0.0519806666666667
20	9377551.77431634	20	486543.333333333	20	0.0518838333333333
30	9379162.33591254	30	487285	30	0.051954
40	9351173.67880965	40	486011.666666667	40	0.0519733333333333
50	9327051.66782398	50	483551.666666667	50	0.051844
60	9329159.49991015	60	484531.666666667	60	0.0519373333333333
70	9348201.50825682	70	484478.333333333	70	0.0518258333333333
80	9318213.9733498	80	482981.666666667	80	0.051832
90	9355614.42312638	90	485020	90	0.0518426666666667
100	9321192.47884353	100	483173.333333333	100	0.051836
110	9330401.17457696	110	484031.666666667	110	0.0518768333333333
120	9325624.40994946	120	484021.666666667	120	0.0519023333333333
130	9290337.67949142	130	482978.333333333	130	0.0519871666666667
140	9297723.84931863	140	482488.333333333	140	0.0518931666666667
150	9303220.40987035	150	481953.333333333	150	0.051805
160	9292016.63121502	160	481980	160	0.0518703333333333
170	9315107.25666676	170	482806.666666667	170	0.0518305
180	5881455.31251903	180	305770	180	0.0519888333333333
190	4938645.56709394	190	255701.666666667	190	0.0517756666666667
200	4633362.6788847	200	240343.333333333	200	0.0518723333333333
210	4357302.25240412	210	226176.666666667	210	0.0519075
220	4154079.90851445	220	215531.666666667	220	0.0518843333333333
230	3898582.66703132	230	201943.333333333	230	0.0517991666666667
240	3683961.94588759	240	191100	240	0.0518735
250	3501958.15114549	250	181671.666666667	250	0.0518771666666667
260	3297806.02539715	260	171055	260	0.0518693333333333
270	3085842.32439738	270	160213.333333333	270	0.0519188333333333
280	2931784.68326424	280	152165	280	0.0519018333333333
290	2753853.23729889	290	142550	290	0.0517638333333333
300	2588635.415664	300	134466.666666667	300	0.051945
310	2423320.96868551	310	125650	310	0.0518503333333333
320	2295732.73712824	320	118940	320	0.0518091666666667
330	2145161.60191643	330	111040	330	0.051763
340	2001443.24782305	340	103545	340	0.0517351666666667
350	1877367.57624398	350	97466.6666666667	350	0.0519166666666667
360	1764877.76996413	360	91603.3333333333	360	0.0519035
370	1637425.5854374	370	84945	370	0.0518771666666667
380	1558250.00402557	380	80643.3333333333	380	0.0517525
390	1445253.22648428	390	75085	390	0.0519528333333333
400	1360373.04127621	400	70551.6666666667	400	0.051862
410	1272492.25070419	410	65956.6666666667	410	0.0518326666666667
420	1185691.47360694	420	61381.6666666667	420	0.0517686666666667
430	1123108.76093065	430	58160	430	0.0517848333333333
440	1046467.84517798	440	54195	440	0.0517885
450	992519.536963517	450	51458.3333333333	450	0.0518461666666667
460	926399.645655265	460	48105	460	0.0519268333333333
470	865016.380569877	470	44798.3333333333	470	0.051789
480	821362.290734188	480	42635	480	0.0519076666666667
490	774344.809866393	490	40183.3333333333	490	0.0518933333333333
500	731888.604662387	500	37910	500	0.0517975
510	694332.674516671	510	35950	510	0.0517763333333333
520	672314.875296434	520	34823.3333333333	520	0.0517961666666667
530	619113.573407202	530	32035	530	0.0517433333333333
540	600773.071348043	540	31085	540	0.0517416666666667
550	566634.624349375	550	29375	550	0.0518411666666667
560	541520.655843112	560	28073.3333333333	560	0.0518416666666667
570	512443.918806001	570	26575	570	0.0518593333333333
580	491377.038432119	580	25481.6666666667	580	0.0518576666666667
590	474060.50673993	590	24588.3333333333	590	0.0518675
600	450401.78269971	600	23345	600	0.0518315
610	440152.778179318	610	22836.6666666667	610	0.0518835
620	413324.076930988	620	21433.3333333333	620	0.051856
630	406049.345873564	630	21090	630	0.0519395
640	381393.79407435	640	19776.6666666667	640	0.0518536666666667
650	376530.681171214	650	19510	650	0.0518151666666667
660	359443.922889955	660	18633.3333333333	660	0.0518393333333333
670	345394.260795179	670	17900	670	0.0518248333333333
680	333520.963669406	680	17281.6666666667	680	0.0518158333333333
690	314639.55055168	690	16306.6666666667	690	0.0518265
700	312703.918120948	700	16213.3333333333	700	0.0518488333333333
710	300331.773056942	710	15570	710	0.0518426666666667
720	283392.085220255	720	14685	720	0.0518186666666667
730	275150.887640558	730	14261.6666666667	730	0.0518321666666667
740	53460.1392853359	740	2775	740	0.0519078333333333
750	33353.7714801178	750	1731.66666666667	750	0.0519181666666667
760	29896.2782184259	760	1551.66666666667	760	0.0519016666666667
770	31915.2004152821	770	1660	770	0.0520128333333333
780	33077.3471454762	780	1720	780	0.0519993333333333
790	31243.8851482481	790	1623.33333333333	790	0.0519568333333333
800	31518.96423046	800	1640	800	0.0520321666666667
810	30365.1846787421	810	1576.66666666667	810	0.0519235
820	32578.2134403623	820	1688.33333333333	820	0.051824
830	32927.9508138735	830	1706.66666666667	830	0.0518303333333333
840	31382.2284908322	840	1631.66666666667	840	0.0519933333333333
850	33040.3541412716	850	1716.66666666667	850	0.0519566666666667
860	33616.9462737746	860	1748.33333333333	860	0.0520075
870	34628.5057751618	870	1798.33333333333	870	0.0519321666666667
880	35257.8086902959	880	1831.66666666667	880	0.0519506666666667
890	36759.7528820801	890	1910	890	0.051959
900	32784.7796419684	900	1701.66666666667	900	0.0519041666666667
910	31008.946369931	910	1610	910	0.0519205
920	33038.7273019444	920	1713.33333333333	920	0.0518583333333333
930	32894.8424096355	930	1708.33333333333	930	0.0519331666666667
