A	S1R1	B	S1	C	R1
Time	S1 / R1	Time	S1	Time	R1
s	CPS / MicroAmps	s	CPS	s	MicroAmps
0	9196301.2698038	0	480526.666666667	0	0.0522521666666667
10	9182072.93629312	10	480025	10	0.0522785
20	9185633.28478134	20	480336.666666667	20	0.0522921666666667
30	9167571.63011251	30	479783.333333333	30	0.0523348333333333
40	9154676.08711579	40	478983.333333333	40	0.0523211666666667
50	9165958.01603302	50	479650	50	0.0523295
60	9175671.68022585	60	481030	60	0.0524245
70	9188435.54108015	70	480538.333333333	70	0.0522981666666667
80	9149173.45365095	80	478556.666666667	80	0.052306
90	9137648.23017322	90	477235	90	0.0522273333333333
100	9188648.04242728	100	483393.333333333	100	0.0526076666666667
110	9150807.0841762	110	480263.333333333	110	0.0524831666666667
120	9092916.41213602	120	476323.333333333	120	0.052384
130	9120531.64863299	130	477371.666666667	130	0.0523403333333333
140	9137738.03314973	140	478896.666666667	140	0.0524086666666667
150	9122310.72020671	150	477791.666666667	150	0.0523761666666667
160	9122465.22140515	160	477606.666666667	160	0.052355
170	9120909.11976637	170	478893.333333333	170	0.052505
180	5812092.999593	180	304646.666666667	180	0.052416
190	5127473.96994915	190	268225	190	0.0523113333333333
200	4991590.14818574	200	260663.333333333	200	0.0522205
210	4850273.08482349	210	253835	210	0.0523341666666667
220	4726126.90685256	220	247230	220	0.0523113333333333
230	4576662.39939726	230	238930	230	0.0522061666666667
240	4445562.07743923	240	232766.666666667	240	0.0523593333333333
250	4306137.84607157	250	225450	250	0.0523555
260	4183315.88043759	260	219051.666666667	260	0.0523631666666667
270	4048616.15736668	270	211718.333333333	270	0.052294
280	3896547.00919928	280	204231.666666667	280	0.0524135
290	3793331.74186361	290	198628.333333333	290	0.0523625
300	3675468.80979717	300	192080	300	0.05226
310	3528644.25487932	310	184351.666666667	310	0.0522443333333333
320	3411056.42887859	320	178475	320	0.0523225
330	3271202.17724928	330	170878.333333333	330	0.0522371666666667
340	3166702.73848778	340	165823.333333333	340	0.0523646666666667
350	3039260.08611067	350	158826.666666667	350	0.0522583333333333
360	2914072.50761078	360	152038.333333333	360	0.0521738333333333
370	2816097.26707322	370	147231.666666667	370	0.0522821666666667
380	2694241.02472506	380	140786.666666667	380	0.0522546666666667
390	2579452.2425792	390	134853.333333333	390	0.0522798333333333
400	2471441.01960108	400	129050	400	0.0522165
410	2378911.01308087	410	124211.666666667	410	0.0522136666666667
420	2272404.35678765	420	118885	420	0.0523168333333333
430	2193160.55702351	430	114680	430	0.0522898333333333
440	2085480.38100337	440	109071.666666667	440	0.0523005
450	1995091.08585818	450	104315	450	0.0522858333333333
460	1892185.64238883	460	98943.3333333333	460	0.0522905
470	1801992.7582426	470	94225	470	0.0522893333333333
480	1742491.95566679	480	90976.6666666667	480	0.0522106666666667
490	1668807.63480927	490	87256.6666666667	490	0.0522868333333333
500	1594424.58079195	500	83390	500	0.052301
510	1530099.61436514	510	79950	510	0.0522515
520	1461578.47539357	520	76331.6666666667	520	0.0522255
530	1400234.59961878	530	73215	530	0.0522876666666667
540	1340910.8265662	540	70233.3333333333	540	0.0523773333333333
550	1292865.30008103	550	67548.3333333333	550	0.052247
560	1237232.55821379	560	64583.3333333333	560	0.0521998333333333
570	1179028.1737247	570	61691.6666666667	570	0.0523241666666667
580	1123107.81095637	580	58736.6666666667	580	0.0522983333333333
590	1099120.02927932	590	57560	590	0.0523691666666667
600	1055560.87442157	600	55126.6666666667	600	0.052225
610	992807.955204199	610	51950	610	0.0523263333333333
620	961110.153861863	620	50201.6666666667	620	0.052233
630	923623.106193393	630	48303.3333333333	630	0.0522976666666667
640	898025.615187282	640	47083.3333333333	640	0.0524298333333333
650	861489.283121713	650	45096.6666666667	650	0.0523473333333333
660	63275.8291425298	660	3313.33333333333	660	0.0523633333333333
670	36635.3951343616	670	1920	670	0.0524083333333333
680	34915.3557479723	680	1826.66666666667	680	0.052317
690	35668.5218123052	690	1865	690	0.052287
700	35723.1709417521	700	1866.66666666667	700	0.0522536666666667
710	36015.5526046792	710	1885	710	0.0523385
720	37607.0446280886	720	1966.66666666667	720	0.0522951666666667
730	35391.0697277341	730	1851.66666666667	730	0.0523201666666667
740	37344.2527800899	740	1951.66666666667	740	0.0522615
750	36811.0662471819	750	1926.66666666667	750	0.0523393333333333
760	36024.7299737857	760	1885	760	0.0523251666666667
770	39048.2040053846	770	2045	770	0.0523711666666667
780	36791.0326631806	780	1926.66666666667	780	0.0523678333333333
790	34966.3723583974	790	1828.33333333333	790	0.0522883333333333
800	36933.9693473614	800	1926.66666666667	800	0.0521651666666667
810	36058.1521392591	810	1885	810	0.0522766666666667
820	37888.5813966108	820	1978.33333333333	820	0.0522145
830	37898.5009817851	830	1978.33333333333	830	0.0522008333333333
